time,danmu
71.68800,我记得他在中日关系破裂时放《举起手来》 
66.87000,六公主有电影是真放啊
30.52000,六公主对人可真好，半夜放恐怖片电影给我们看
37.56000,我记得小时候电影频道放人鬼情未了，看到被子一掀赫然一个鬼脸。。。。
31.34400,那个山村老尸，我和表弟。12点多看被吓哭了
39.96500,是的
43.13900,“ 勇 敢 的 心 ”
26.17500,深夜给我放这个 六公主你可真勇
35.35800,双十一她又开始秀恩爱
16.09800,六公主情人节疯狂fff团
21.67900,范进中举过分了哈哈哈
67.66100,夺笋呐
55.87000,真假遗嘱哈哈哈哈哈哈
16.40300,众所周知，央视6套不属于央视
40.28000,1
42.59500,1
42.36600,1
39.28900,1
41.30000,1
43.20800,1
43.82700,1
43.22900,1
43.31200,1
40.30200,1
41.10300,1
18.53200,贺岁时，放小马宝莉大电影（暗示远离美国坏叔叔）
29.89900,之前凌晨三点放着电视在玩手机，抬头一看，央视六台在放电锯惊魂
17.57300,第三个被打破了～
32.50000,第七个六公主干的漂亮
55.37900,蹦不住了，哈哈哈哈哈哈哈
16.57400,央视6公主前几天不放的的电影《钱学森》
3.37900,敦刻尔克大撤退，一只回家的狗
44.25900,没懂得一个搞文艺的没想到思想觉悟全场最高
37.51900,可以，这很六公主
44.35000,勇敢的心真的是杀人诛心
64.53400,一条狗的回家哈哈哈哈哈哈
15.16300,不愧是六公主
65.36000,最后一个夺笋
5.09900,不信谣不传谣借你吉言
17.26000,六公主是单身（
17.03100,范进中举笑死
66.47800,丹麦的H&amp;M，LaJi公司一辈子不会忘
47.63400,放珍珠港属于极限拱火了
31.67400,他还真放过，还不止一次
63.21100,186是绷不住的。
40.13900,我选称之为绝活
74.98700,叫不叫啊是
31.13900,山村老尸是我现在都还有的阴影
38.87600,第七个干得漂亮
14.78900,我天 那天下午我真在看霹雳贝贝
28.65900,那两恐怖片能放？
53.70200,杀人，还要诛心
26.53900,山村老尸是我童年最大的阴影
1.24000,不信谣 不造谣 不传谣
23.36500,范进都敢播
64.91900,前面的，是损失40%国土和38.5%人口
31.01900,儿童节放小丑回魂
66.77900,15我真是想一次笑一次
40.90000,第七个太漂亮了
47.21900,《悲惨世界》yyds
29.77900,还真的敢放啊？
51.28300,到 街 垒 去
5.93900,不信谣不传谣
25.01900,山村老师？？？
32.81300,日本沉没。。。好耶！！！
37.11700,◣牛笔◥
51.00300,夺笋啊
68.46700,哈哈哈哈哈啊哈哈哈啊哈哈
11.94800,我当时还看了！
30.05900,为啥我没看过像咒怨这类的恐怖片
67.13600,哈哈哈哈哈哈哈哈哈哈哈十五
59.23900,哥哥，哥哥，哥哥啊
26.43000,五姑娘表示赞同
10.81400,阴阳怪气有一套
37.71300,珍珠港…hhhhhhhhhhhhh笑不活了
20.00600,垫底辣妹结局很好的，最后考上庆应大学，对标国内就是清北华五人
28.85900,山村老尸我最喜欢
39.76200,日本沉没哈哈
40.41900,日本沉没可还行
16.19800,就这份ppt还要点赞？
1.40100,不信谣，不传谣
72.33900,哥哥
64.64000,虾仁猪心
66.46300,蚌埠住了
32.83900,这位更是重量级
51.74700,虾仁猪心
24.46400,什么？虾仁还要猪心？！好残忍！！！
40.37900,第8个完美
34.47900,第七个干的漂亮
18.90300,撒疯了
32.72800,咒怨是能放的？？
24.18300,咦，我中了
66.18000,天啊
38.78600,第七个牛啊
26.77900,哼～
67.29600,哥哥
44.50900,六爹
42.51600,借您吉言
1.57900,每次点也照样霉运
31.20000,好耶
1.93900,enenenenenenenen
40.06000,日本沉没牛批
34.91800,干得漂亮
27.48700,深夜电影是真的。。。
20.19900,范进中举？
24.95700,笋透了
68.17900,敦刻尔克
61.23600,1864讲丹麦打仗大败，失去30%土和30%人口
7.46000,借您吉言
13.35300,闹离婚不应该泰囧么
65.81900,普丹战争
37.21900,日本沉没好评
56.78700,好可怕呀！
47.11600,内涵帝
53.72000,好欸
41.69200,第八个牛啊
74.98700,up加油
18.18200,借您吉言
36.45900,好耶
39.81900,第7个太棒了。
58.33900,真的对
16.94500,腹黑啊
45.80300,悲惨世界yyds
13.25900,借您吉言
34.01400,第七个我很爽
33.22500,整挺好
24.23600,给你打一针鸡血之后再给你浇一盆冷水
65.00200,六一儿童节放鬼片的呢？
27.79900,美国撤军阿富汗  六公主晚上放了：一条狗的回家路。
23.41900,垫底辣妹很正能量的，反正我挺推荐，考试前看一看
45.89900,太损了
36.79900,山村老尸我现在都不敢一个人看
35.73100,第七个！干的漂亮！
34.63900,咒怨最恐怖，虽然没看完没看懂
18.17900,垫底辣妹真的很不错！很推荐即将高考的小伙伴去看
25.20600,咒怨?
67.21900,《一条狗的回家路》
26.44300,不愧是你
5.23900,不信谣不传谣
66.37100,第十五个好评
57.85900,虾仁猪心
1.45900,一条狗的回家路
69.31000,一条狗的回家路
42.90200,"第七,第八个搞事情"
39.39900,相较于《日本沉没》，我还是希望他变成国有。
7.50400,不点的有大好运
71.09700,一条狗的回家路这个可以哈哈哈
37.63800,六公主任性
67.32800,一条狗的回家路
67.21600,一条狗的回家路好评
20.71300,第三个夺笋呀
27.78600,好家伙
38.61600,六公主嘿嘿
67.68000,哈哈哈哈，一条狗的回家路
2.87900,嫖你吉言
32.67900,日本沉没够意思
